date,price
2018-10-12T01:00:00Z,12.369
2018-10-12T01:30:00Z,10.5
2018-10-12T02:00:00Z,8.4
2018-10-12T02:30:00Z,7.56
2018-10-12T03:00:00Z,8.841
2018-10-12T03:30:00Z,7.35
2018-10-12T04:00:00Z,10.08
2018-10-12T04:30:00Z,11.55
2018-10-12T05:00:00Z,12.6
2018-10-12T05:30:00Z,12.6
2018-10-12T06:00:00Z,12.6
2018-10-12T06:30:00Z,14.532
2018-10-12T07:00:00Z,13.23
2018-10-12T07:30:00Z,13.209
2018-10-12T08:00:00Z,13.587
2018-10-12T08:30:00Z,12.6
2018-10-12T09:00:00Z,12.6
2018-10-12T09:30:00Z,12.18
2018-10-12T10:00:00Z,12.6
2018-10-12T10:30:00Z,12.495
2018-10-12T11:00:00Z,12.957
2018-10-12T11:30:00Z,11.97
2018-10-12T12:00:00Z,11.97
2018-10-12T12:30:00Z,10.5
2018-10-12T13:00:00Z,10.668
2018-10-12T13:30:00Z,10.08
2018-10-12T14:00:00Z,10.605
2018-10-12T14:30:00Z,11.55
2018-10-12T15:00:00Z,24.78
2018-10-12T15:30:00Z,26.208
2018-10-12T16:00:00Z,24.717
2018-10-12T16:30:00Z,28.308
2018-10-12T17:00:00Z,29.022
2018-10-12T17:30:00Z,31.08
2018-10-12T18:00:00Z,18.48
2018-10-12T18:30:00Z,16.17
2018-10-12T19:00:00Z,14.805
2018-10-12T19:30:00Z,12.537
2018-10-12T20:00:00Z,12.957
2018-10-12T20:30:00Z,11.886
2018-10-12T21:00:00Z,12.18
2018-10-12T21:30:00Z,11.319
2018-10-12T22:00:00Z,10.29
2018-10-12T22:30:00Z,10.5
2018-10-12T23:00:00Z,10.5
2018-10-12T23:30:00Z,10.71
2018-10-13T00:00:00Z,10.521
2018-10-13T00:30:00Z,11.13
2018-10-13T01:00:00Z,11.34
2018-10-13T01:30:00Z,10.92
2018-10-13T02:00:00Z,11.34
2018-10-13T02:30:00Z,11.34
2018-10-13T03:00:00Z,12.6
2018-10-13T03:30:00Z,12.39
2018-10-13T04:00:00Z,13.65
2018-10-13T04:30:00Z,13.23
2018-10-13T05:00:00Z,12.201
2018-10-13T05:30:00Z,11.928
2018-10-13T06:00:00Z,11.34
2018-10-13T06:30:00Z,13.944
2018-10-13T07:00:00Z,13.755
2018-10-13T07:30:00Z,13.86
2018-10-13T08:00:00Z,15.96
2018-10-13T08:30:00Z,16.17
2018-10-13T09:00:00Z,16.38
2018-10-13T09:30:00Z,15.4035
2018-10-13T10:00:00Z,13.86
2018-10-13T10:30:00Z,12.369
2018-10-13T11:00:00Z,12.222
2018-10-13T11:30:00Z,11.13
2018-10-13T12:00:00Z,10.92
2018-10-13T12:30:00Z,10.143
2018-10-13T13:00:00Z,10.143
2018-10-13T13:30:00Z,9.744
2018-10-13T14:00:00Z,9.933
2018-10-13T14:30:00Z,10.71
2018-10-13T15:00:00Z,22.953
2018-10-13T15:30:00Z,25.368
2018-10-13T16:00:00Z,23.94
2018-10-13T16:30:00Z,27.3
2018-10-13T17:00:00Z,31.5
2018-10-13T17:30:00Z,31.5
2018-10-13T18:00:00Z,18.9
2018-10-13T18:30:00Z,18.06
2018-10-13T19:00:00Z,16.716
2018-10-13T19:30:00Z,12.726
2018-10-13T20:00:00Z,13.86
2018-10-13T20:30:00Z,12.369
2018-10-13T21:00:00Z,12.306
2018-10-13T21:30:00Z,11.34
2018-10-13T22:00:00Z,12.6
2018-10-13T22:30:00Z,12.369
2018-10-13T23:00:00Z,12.348
2018-10-13T23:30:00Z,13.02
2018-10-14T00:00:00Z,13.02
2018-10-14T00:30:00Z,13.44
2018-10-14T01:00:00Z,13.65
2018-10-14T01:30:00Z,13.02
2018-10-14T02:00:00Z,13.44
2018-10-14T02:30:00Z,13.44
2018-10-14T03:00:00Z,14.406
2018-10-14T03:30:00Z,14.28
2018-10-14T04:00:00Z,15.75
2018-10-14T04:30:00Z,15.54
2018-10-14T05:00:00Z,15.54
2018-10-14T05:30:00Z,14.91
2018-10-14T06:00:00Z,11.76
2018-10-14T06:30:00Z,13.314
2018-10-14T07:00:00Z,12.18
2018-10-14T07:30:00Z,13.587
2018-10-14T08:00:00Z,12.6
2018-10-14T08:30:00Z,14.994
2018-10-14T09:00:00Z,16.8
2018-10-14T09:30:00Z,16.8
2018-10-14T10:00:00Z,16.695
2018-10-14T10:30:00Z,15.96
2018-10-14T11:00:00Z,17.64
2018-10-14T11:30:00Z,16.254
2018-10-14T12:00:00Z,15.792
2018-10-14T12:30:00Z,14.07
2018-10-14T13:00:00Z,12.642
2018-10-14T13:30:00Z,12.201
2018-10-14T14:00:00Z,11.97
2018-10-14T14:30:00Z,12.075
2018-10-14T15:00:00Z,25.935
2018-10-14T15:30:00Z,28.98
2018-10-14T16:00:00Z,26.46
2018-10-14T16:30:00Z,30.24
2018-10-14T17:00:00Z,29.967
2018-10-14T17:30:00Z,33.6
2018-10-14T18:00:00Z,20.58
2018-10-14T18:30:00Z,18.123
2018-10-14T19:00:00Z,17.85
2018-10-14T19:30:00Z,14.133
2018-10-14T20:00:00Z,16.611
2018-10-14T20:30:00Z,14.07
2018-10-14T21:00:00Z,13.65
2018-10-14T21:30:00Z,12.18
2018-10-14T22:00:00Z,13.02
2018-10-14T22:30:00Z,13.797
2018-10-14T23:00:00Z,13.86
2018-10-14T23:30:00Z,11.592
2018-10-15T00:00:00Z,12.81
2018-10-15T00:30:00Z,15.54
2018-10-15T01:00:00Z,14.7
2018-10-15T01:30:00Z,12.6
2018-10-15T02:00:00Z,11.55
2018-10-15T02:30:00Z,11.235
2018-10-15T03:00:00Z,11.613
2018-10-15T03:30:00Z,11.55
2018-10-15T04:00:00Z,13.02
2018-10-15T04:30:00Z,13.587
2018-10-15T05:00:00Z,14.49
2018-10-15T05:30:00Z,14.49
2018-10-15T06:00:00Z,13.398
2018-10-15T06:30:00Z,17.22
2018-10-15T07:00:00Z,16.044
2018-10-15T07:30:00Z,14.112
2018-10-15T08:00:00Z,17.22
2018-10-15T08:30:00Z,15.33
2018-10-15T09:00:00Z,17.22
2018-10-15T09:30:00Z,14.28
2018-10-15T10:00:00Z,16.38
2018-10-15T10:30:00Z,14.196
2018-10-15T11:00:00Z,15.75
2018-10-15T11:30:00Z,13.44
2018-10-15T12:00:00Z,15.12
2018-10-15T12:30:00Z,13.188
2018-10-15T13:00:00Z,14.7
2018-10-15T13:30:00Z,14.595
2018-10-15T14:00:00Z,13.02
2018-10-15T14:30:00Z,14.784
2018-10-15T15:00:00Z,25.095
2018-10-15T15:30:00Z,29.232
2018-10-15T16:00:00Z,28.35
2018-10-15T16:30:00Z,29.82
2018-10-15T17:00:00Z,32.949
2018-10-15T17:30:00Z,33.39
2018-10-15T18:00:00Z,18.312
2018-10-15T18:30:00Z,16.17
2018-10-15T19:00:00Z,15.54
2018-10-15T19:30:00Z,12.516
2018-10-15T20:00:00Z,15.456
2018-10-15T20:30:00Z,13.461
2018-10-15T21:00:00Z,13.02
2018-10-15T21:30:00Z,12.18
2018-10-15T22:00:00Z,14.07
2018-10-15T22:30:00Z,13.65
2018-10-15T23:00:00Z,11.97
2018-10-15T23:30:00Z,11.424
2018-10-16T00:00:00Z,11.55
2018-10-16T00:30:00Z,13.146
2018-10-16T01:00:00Z,12.768
2018-10-16T01:30:00Z,11.13
2018-10-16T02:00:00Z,11.55
2018-10-16T02:30:00Z,11.424
2018-10-16T03:00:00Z,10.92
2018-10-16T03:30:00Z,11.13
2018-10-16T04:00:00Z,13.713
2018-10-16T04:30:00Z,13.44
2018-10-16T05:00:00Z,15.75
2018-10-16T05:30:00Z,14.7
2018-10-16T06:00:00Z,14.28
2018-10-16T06:30:00Z,18.27
2018-10-16T07:00:00Z,17.157
