DayNum,Timestamp(ms),Timestamp (s),Timestamp (numbers),HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V]
5.780155407,64800,64.8,0.00075,59,74.51219177,387.5
5.780155407,65800,65.8,0.000761574,59,74.51219177,387.5
5.780155407,66000,66,0.000763889,59,74.51219177,387.5
5.780155407,66400,66.4,0.000768519,59,74.51219177,381.5
5.780155407,66800,66.8,0.000773148,59,74.51219177,381.5
5.780155407,67400,67.4,0.000780093,-30,74.51219177,381.5
5.780155407,67900,67.9,0.00078588,-30,74.51219177,381.5
5.780155407,68900,68.9,0.000797454,-30,74.51219177,381.5
5.780155407,70000,70,0.000810185,-30,74.51219177,381.5
5.780155407,71000,71,0.000821759,-30,74.51219177,381.5
5.780155407,71200,71.2,0.000824074,-30,74.51219177,381.5
5.780155407,71400,71.4,0.000826389,-30,74.51219177,376.5
5.780155407,72000,72,0.000833333,-30,74.51219177,376.5
5.780155407,72400,72.4,0.000837963,48.5,74.51219177,376.5
5.780155407,73100,73.1,0.000846065,48.5,74.51219177,376.5
5.780155407,74100,74.1,0.000857639,48.5,74.51219177,376.5
5.780155407,75200,75.2,0.00087037,48.5,74.51219177,376.5
5.889617213,0,0,0,-23.5,66.46341705,380
5.889617213,100,0.1,1.15741E-06,-23.5,66.46341705,380.5
5.889617213,200,0.2,2.31481E-06,-5.5,66.46341705,380.5
5.889617213,1300,1.3,1.50463E-05,-5.5,66.46341705,380.5
5.889617213,2300,2.3,2.66204E-05,-5.5,66.46341705,380.5
5.889617213,3300,3.3,3.81944E-05,-5.5,66.46341705,380.5
5.889617213,4400,4.4,5.09259E-05,-5.5,66.46341705,380.5
5.889617213,4900,4.9,5.6713E-05,-5.5,66.46341705,380.5
5.889617213,5200,5.2,6.01852E-05,-60,66.46341705,374.5
5.889617213,5400,5.4,0.0000625,-60,66.46341705,374.5
5.889617213,6400,6.4,7.40741E-05,-60,66.46341705,374.5
5.889617213,7500,7.5,8.68056E-05,-60,66.46341705,374.5
5.889617213,8600,8.6,9.9537E-05,-60,66.46341705,374.5
5.889617213,9700,9.7,0.000112269,-60,66.46341705,374.5
5.889617213,10000,10,0.000115741,-60,66.46341705,374.5
